sex	stage	PC1	PC2
0	1	0.260054786254139	0.394307913815305
0	1	0.309628330306453	-0.241323760950269
1	1	0.292344374163578	-0.208525065191308
1	1	0.233894412484802	0.340211189852757
1	1	0.334022354564698	-0.295625954534476
0	1	0.24833179200064	0.385671116795133
0	0	0.322211131981283	-0.217794392344222
1	0	0.263574572559584	0.241905398094299
1	0	0.341254855879367	-0.409876525110249
1	0	0.25183733023059	0.282156841211776
0	0	0.303678322566733	-0.0630853451499457
0	0	0.278749625337081	0.182694310391563
